row,col,full_name,first,last,team,pos,bye,match_score,raw_ocr_last,raw_ocr_team,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_first
7,3,CHRIS GODWIN JR.,CHRIS,GODWIN JR.,TB,WR,9,59.56749807287196,GODWIN,7,,WR,,IE
7,4,T.J. HOCKENSON,T.J.,HOCKENSON,MIN,TE,6,78.30239132234973,BA HOCKENSON;,,,TE,,tet Ff
7,5,CHRIS OLAVE,CHRIS,OLAVE,NO,WR,11,48.693894095647956,LP,MIA,,WR,,PEARSALL
7,7,DEEBO SAMUEL SR.,DEEBO,SAMUEL SR.,WAS,WR,12,52.017394028805654,PICKENS,WAS,,WR,,GEORGE
7,8,TYRONE TRACY JR.,TYRONE,TRACY JR.,NYG,RB,14,51.21955488431726,. J “aC gat pin,fas,,RB,,pentane &
7,9,CHRIS OLAVE,CHRIS,OLAVE,NO,WR,11,73.3395362171695,en OLAVE Me,ee,,WR,,Uis wee
8,1,MATTHEW GOLDEN,MATTHEW,GOLDEN,GB,WR,5,70.7329164316623,GOLDEN,,,WR,,CWWRIE
8,3,MARK ANDREWS,MARK,ANDREWS,BAL,TE,7,73.82990390029326,ANDREWS,',,TE,,MARK
8,5,J.K. DOBBINS,J.K.,DOBBINS,DEN,RB,12,57.32226839834175,ROBINSONUR,"RB,",RB,,12,AWAS
8,6,ZACH CHARBONNET,ZACH,CHARBONNET,SEA,RB,8,78.66444961314349,CHARBONNET,WM.,,RB,,SCAG
8,7,TRAVIS ETIENNE JR.,TRAVIS,ETIENNE JR.,JAC,RB,8,54.77222867670578,TROSKI,RS.,,RB,,RAITT
8,8,TRAVIS ETIENNE JR.,TRAVIS,ETIENNE JR.,JAC,RB,8,49.67797175117954,ee OBE ET,—_—_—_— 3 —_,,RB,,
8,9,TRAVIS HUNTER,TRAVIS,HUNTER,JAC,WR,8,62.6931597724506,SS HUNTER,,,WR,,1ViS See F
9,0,KHALIL SHAKIR,KHALIL,SHAKIR,BUF,WR,7,72.80795904534607,SHAKIR,GB,,WR,,AY
9,2,TYLER WARREN,TYLER,WARREN,IND,TE,11,70.69455485631073,ARREN,,,TE,,
9,3,JAYDEN REED,JAYDEN,REED,GB,WR,5,60.46287191004126,EE,=,,WR,,COOPER
9,4,DEEBO SAMUEL SR.,DEEBO,SAMUEL SR.,WAS,WR,12,56.55339622369926,SAMUENSRM,BAL,,WR,,OCHO
9,5,CAM SKATTEBO,CAM,SKATTEBO,NYG,RB,14,58.55929513975403,SESKATTEBO,[HO,,RB,,BYES
9,6,RASHOD BATEMAN,RASHOD,BATEMAN,BAL,WR,7,52.84106861766205,MORAN,BAL,,WR,,MICHAEL
9,7,JORDAN ADDISON,JORDAN,ADDISON,MIN,WR,6,74.8317187544052,ADDISON,KC,,WR,,OM
9,8,JAKOBI MEYERS,JAKOBI,MEYERS,LV,WR,8,71.01474805833617,MEYERS ae,,,WR,,
9,9,JERRY JEUDY,JERRY,JEUDY,CLE,WR,9,51.311320401715626,[a JEUD Vai,,,WR,,WF ORT
10,1,DAVID NJOKU,DAVID,NJOKU,CLE,TE,9,47.34185258558331,heme NIOKU Se,@ £Cle},,TE,,
10,2,ELIJAH MITCHELL,ELIJAH,MITCHELL,KC,RB,10,51.000001927296374,IE,KC,,RB,,JORDAN
10,3,NICK CHUBB,NICK,CHUBB,HOU,RB,6,72.79016706840046,CHUBBY,{,,RB,,NICK
10,5,KEON COLEMAN,KEON,COLEMAN,BUF,WR,7,50.814800950683434,EM,EM?,,WR,,RG
